Disease,Symptoms
고혈압 질환,"['고혈압 질병 통증 흉부', '호흡 곤란', '현기증', '천식', '낙상', '실신', '현기증', '발한 증가', '촉진', '메스꺼움', '협심증', '압력 가슴의 증상입니다.']"
당뇨병,"['당뇨병 다뇨증', '다형 세포증', '호흡 곤란', '통증 가슴', '천공', '메스꺼움', '정형 외과', '땀', '발한 증가', '응답', '정신 상태 변화', '현기증', '구토', '호흡의 증상입니다.']"
우울 장애,"['우울 장애 느낌 자살', '자살', '환각', '환각', '절망감', '울음 소리', '잠들기', '운동 지연', '짜증나는 분위기', '정전', '기분 우울', '환각 시각', '걱정', '교반', '떨림', '구두 청각 환각', '에너지 증상입니다.증가', '난이도', '악몽', '집중할 수 없음', '노숙자']"
관상 동맥 심장병,"['관상 동맥 심장 질환 통증 흉부', '협심증 흉부', '호흡 곤란', '저혈압', '발한 증가', '압력 가슴', '운동에 대한 호흡 곤란', '정형 외과', '흉부 압박감의 증상입니다.']"
사고 뇌 혈관,"['사고 뇌 혈관 이상의 증상', '천식', '말하기', '얼굴 마비', '혈전증', '무응기', '발작', '마비의 증상입니다.']"
만성 폐쇄성기도 질환,"['만성 폐쇄성기도 질환 호흡 곤란', '천명', '기침', '호흡 곤란', '고통 호흡기', '가래 화농성', '저산소 혈증', '고혈압', '환자 비 준수', '흉부 타협의 증상입니다.']"
부족 신장,"['부족 신장 호흡 곤란', '고 칼륨 혈증', '정형 외과', '랠리', '긴급 성과', '복수', '복수', '기아의 긍정적', '천식', '묵시록', '정신 상태 변화', '호기심', '난이', '질환', '저혈압', '부풀어 오르기', '저축증의 증상입니다.']"
퇴행성 다 관절염,"['퇴행성 다 관절염 통증', '음식 불내증', '손의 마비', '일반적인 불편 함', '졸음', '천식', '비소 제조', '비생산적인 기침', '다감서', '강성', '불안정한 보행의 증상입니다.']"
갑상선 기능 저하증,"['갑상선 기능 항진증 부족', '전립선', '졸린', '저 나트륨 혈증', '낙상', '불안정한 걸음 걸이', '다뇨증', '저혈압', '난이도', '종합', '악몽', '말하기', '체중 증가', '무 천공', '피곤한', '교반', '정신 상태 변화', '운동 지체의 증상입니다.', '구토', '마비', '신체 구조의 질량']"
불안 상태,"['불안 상태 걱정', '자살 느낌', '자살', '잠들기', '느낌', '절망적', '과민성 기분', '진전', '조정', '울음', '종교적 신념', '긴장', '환각 시각', '형성', '난이도', '환자 비 준수', '대가가 있습니다.', '촉진', '환각 청각', '기분 우울', '뜨거운 플러시', '고통', '의식이 깨끗하고 악몽']"
1 차 악성 신 생물,"['1 차 악성 신 생물 통증', '신체 구조', '병변', '쿠시 잉 오이드 습관', '강조 변화', '체중 감소', '복수', '쉰 목소리', '두껍게', '혈뇨의 증상입니다.']"
셀룰티스,"['셀룰레스 홍성', '통증', '붓기', '발적', '열', '농양 박테리아', '환자 비 규정 준수', '저혈압', '과실', '가려움증', '통증 가슴', '긁힘 자국', '냉기', '터치하는 아프기의 증상입니다.']"
패혈증,"['패혈증 발열', '고통 호흡기', '저혈압', '빈맥', '차가운', '무기력', '브래디카르 디아', '브리치 프리젠 테이션', '청색증', '자발적인 막 파열', '출혈', '무관']"
심근 병증,"['심근 병증 호흡 곤란', '정형 외과', '저혈압', '경정 정맥 팽창', '촉진', '통증 흉부', '조감사', '노란 가래', '랠리', '호흡 곤란', '운동 호흡 곤란', '남은 심방의 과축증', '피로', '체중 증가', '환자 비 충만의 증상입니다.']"
암종,"['신체 구조', '통증', '병변', '종양 세포 침습', '두껍게', '체중 감소', '쉰 목소리', '일반적인 불편 함', '전이성 병변', '비 생산 기침', '변비', '불행', '페르테스 시아', '그라비아 0', '설사', '설사', '설사', '설사', '설사의 증상입니다.만지기', '가슴 앓이', '메스꺼움', '폐 결절이 아프다']"
말초 혈관 질환,"['말초 혈관 질환의 증상', '호흡 곤란', '휴식 통증', '협심증', '비 응답', '고 칼륨 혈증', '부비동 리듬', '노사 호흡', '호흡 곤란', '손질', '식욕 부진', '졸린 증상입니다.']"
정신병 장애,"['정신병 장애 자살', '환각 청각', '자살', '환각 시각', '환각 시각', '운동 지연', '정전', '언어 청각 환각', '절망', '과민성 기분', '동요', '떨림', '카타토니아', '울음', '노숙자', '잠들기', '철수', '에너지 증가', '중독', '걱정', '행동 과잉 행동', '환자 비 규정 준수', '기분 우울', '끔찍한', '악몽', '의식 명확성']"
승모판 기능 부전,"['승모판의 증상', '호흡 곤란', '호흡 곤란', '운동 호흡기', '무증상', '저축증', '호흡 곤란', '실신', '두껍게', '왼쪽 심방 비대', '촉진', '피로', '구토', '심장', '심혈구', '가슴 불편 함']"
관절염,"['관절염 통증', '혈역학 적으로 안정', '잠들기', '천식', '천공', '붓기', '비정형', '일반적인 불공정', '호흡 곤란', '팽창 된 복부의 증상입니다.']"
기관지염,"['기관지염 기침', '천명', '호흡 곤란', '흉부 압박감', '열', '목이 아프고 생산적인 기침', '간장 비대', '밤 땀', '혈통', '코 니플', '해킹 기침', '호흡 곤란', '차가운', '스트라이더', '체중 감소의 증상입니다.']"
선암종,"['신체 구조', '병변', '체중 감소', '변비', '변비', '변형', '대변 구경 감소', '포만감', '조기', '헤마 토치 지아', '여가', '통증', '흉터 조직', '통증 복부의 증상 증상입니다.']"
편집증,"['편집증 환각 청각', '환각 시각', '동요', '짜증나는 분위기', '언어 청각 환각', '자살', '자살', '자살', '끔찍한', '신학', '노숙자', '에너지 증가', '분위기', '분위기', '흉터', '정전', '느슨한 연관성의 증상입니다.']"
췌장염,"['췌장염 구토', '통증 복부', '메스꺼움', '통증', '설사', '대변 색상', '엄격한 - 온도 관련 관찰', '아파이 렉스', '터치 할 수있는 증상입니다.']"
요실금,"['요실금 부각증', '발작', '무력증', '요실금', '무의식 상태', '분위기', '변덕', '떨어지는 것에 대한 두려움', '떨림', '경련', '불행', '신 접근', '낙관', '강성', '무관심의 증상입니다.']"
발작 호흡 곤란,"['발작성 호흡 곤란 정형 외과', '호흡 곤란', '운동 호흡 곤란', '경정 정맥 팽창', '랠리', '통증 가슴', '땀', '체중 증가', '기침', '호기심 증상입니다.']"
탈장,"['탈장 통증 복부', '통증,과 호흡', '극심한 통증', '개그', '메스꺼움', '자세', '편마비', '만지기', '출혈', '묘목', '음식 불내증', '맥박 부재', '무력성', '신체 구조', '두꺼운 증상입니다.']"
림프병,"['림프 질환 통증', '신체 구조 질량', '밤 땀', '비장 비대', '병변', '냉기', '체중 감소', '부종', '열', '과실', '프리미티스', '비생산적인 기침', '여신', '발적', '간장', '피로의 증상입니다.']"
협착증 대동맥 판막,"['운동에 대한 협착증 대동맥 판막 호흡 곤란의 증상', '종단', '진정', '가슴 불편', '수축기 중얼 거림', '좌골 신경통', '협심증', '통증 가슴', '거품이 많은 가래', '서맥', '통증입니다.']"
암종 유방,"['유방에서 암종 유방 질량', '신체 구조의 질량', '감염증', '복구', '홍반', '난이도', '병변', '에스트로겐 사용', '불타는 감각', '호흡 곤란', '부기', '형성 증상입니다.']"
정신 분열증,"['정신 분열증 환각의 증상 청각', '과민성', '과민성 분위기', '언어 청각 환각', '환자 비 규정 준수', '교반', '자살', '걱정', '환각', '환각', '저체중', '노숙자의 증상입니다.']"
과부하 액체,"['과부하 액체 랠리', '경정 정맥 팽창', '고 칼륨 혈증', '정형 외과', '호흡 곤란', '졸린', '체중 증가', '저칼륨 혈증', '저혈압', '붓기', '팽창 복부의 증상입니다.']"
골수염,"['골수염 통증', '발적', '전립선 부인', '열', '열병', '소변을 통과하는 데 어려움', '촉감', '부종', '묘사', '홍반', '농양 박테리아', '통증 발', '비뇨기 망설임의 증상입니다.']"
위염,"['위염 헴 양성', '통증 복부', '구토', '불균형', '메스꺼움', '중독', '출혈', '기아증 양성', '통증', '체중 감소', '손질', '현기증 증상입니다.']"
겸상 적혈구 빈혈,"['겸상 적혈구 빈혈 획기적인 통증', '통증 등', '통증', '호흡 곤란', '코 니플', '통증 가슴', '통증 복부', '간장 비대', '녹색 가래', '묵시', '두통의 증상입니다.']"
실패 심장,"['실패 심장 정형 외과', '피로', '노력에 대한 호흡 곤란', '호흡 곤란', '호흡 곤란', '판사 고석 중얼 거림', '경정 정맥 팽창', '수축기 배출 중얼 거림', '저혈압', '앙나 펙 카네 시아입니다.']"
간염,"['간염 복수의 증상', '자발적인 막', '빈맥', '통증 복부', '가려움증', '식욕 부진', '트랜스 아민염', '발사체 구토', '냉기', '고통 호흡기', '열', '구토입니다.']"
통풍,"['통풍 핫 플러시', '통증', '발적', '붓기', '홍반', '홍반', '강조적인 변화', '터치 할 수있는 아픈', '저조국', '복수', '환자 비 준수의 증상입니다.']"
대장염,"['대장염 열', '두껍게', '녹색 가래', '구토', '메스꺼움 및 구토', '일찍', '통증', '메스꺼움', '냉장', '대금', '연방', '통증 복부', '혈역학 적 안정적인 증상입니다.']"
자살 시도,['자살 시도의 증상입니다']
신 생물 전이,"['신 생물 전이 증상', '종양 세포 침습', '전이성 병변', '통증 목', '폐 결절', '통증', '통증 복부', '음식 불내증', '신체 구조', '비정형입니다.']"
케토 아시 시스 당뇨병,"['케토 세미 증 당뇨병 폴리 우리아', '구토', '구역', '통증 복부', '밀키', '이상한 느낌', '신경질', '긴장', '삼키기 후 역류', '\u200b\u200b시력이 흐려진 후', '발작', '아우라의 증상입니다.']"
조증 장애,"['조증 장애 에너지가 증가', '자살', '저소 놈', '자살', '자살', '환각', '환각', '환각', '환각', '기뻐', '구두 청각 환각', '희망', '난이도', '퇴보', '구두 학대 행동', '자살', '자살 느낌입니다.']"
치질,"['치질 출혈 증상', '장 사운드 감소', '대변 구경', '메스꺼움 및 구토', '굶주림', '설사', '현기증', '저 나트륨 혈증', '클로너스', '통증', '아 칼라 시아', '불타는 감각', '기아의 긍정적', '손', '휘핑', '기침']"
심내막염,"['심내막염 흉막염 통증', '두껍게', '근육통', '묵시록', '밤 땀', '플레어', '호흡 곤란', '정형 외과', '농양 박테리아', '저혈압', '기침', '전이성 병변', '호흡 소리 감소', '체중 감소', '펄서스 낙독', '저자추증의 증상입니다.']"
심낭 삼출 신체 물질,"['심낭 삼출 신체 물질 심낭 마찰 문지름', '호흡 곤란', '호흡 곤란', '혈역학 적으로 안정', '심혈관', '저혈압', '가래 화농성', '안면기구', '통증', '중독 증상입니다.']"
만성 알코올 중독,"['만성 알코올 중독 진전', '환각', '환각', '자살', '구축', '짜증나는 분위기', '절망감', '자살 느낌', '신학', '발작', '노숙자', '잠들기', '무의식 상태', '공황', '호흡 소리가 감소하는 증상입니다.']"
기흉,"['기흉 호흡 곤란', '심혈관 사건', '혈관 형', '기침', '고혈압', '연조직 붓기', '전립선', '교반의 증상입니다.']"
섬망,"['섬망의 불안정한 걸음 걸이', '철수', '저 나트륨 혈증', '구두 학대 행동', '자살', '불필요 함', '걱정', '졸린', '환각', '자살', '열', '설사의 증상입니다.']"
혈전,"['혈전 저찬 증상', '식욕 부진증', '초성애', '호흡 곤란', '저 알부민 혈증', '가려움증', '터치하는 아픈', '혈역학 적으로 안정된', '얼굴 마모', '구토', '대변 색상 노란색의 증상입니다.']"
편두통 장애,"['편두통 장애의 증상', '양 손잡이', '구토', '현기증', '마비', '메스꺼움', '열', '비장 비대의 증상입니다.']"
담도 미적분학,"['담도 미적분 구토', '메스꺼움', '통증 복부', '통증', '쿠시 잉 오이드 습관', '복수', '두껍게', '터치 할 아프고', '설사', '묵시', '촉진의 증상입니다.']"
빈맥 부비동,"['빈맥 부비동이 심방 비대를 남기고 땀이 증가', '알코올 폭식 에피소드', '압력 가슴', '흉터 조직', '심혈관 사건', '오르 타스티시', '호흡 곤란', '파도', '구토', '통증 복부의 증상입니다.']"
망상,"['망상 느슨한 연관성', '멍청한 분위기', '절망감', '동요', '환각', '환각', '환각', '짜증나는 기분', '잠들기', '신경주의', '살인 적 생각', '혼란스러운 가족', '걱정', '보충', '구두 학대 행동', '촉매', '자살', '겁', '협박,울음,인지 장애', '과민성 분위기', '동요']"
곰팡이 감염,"['곰팡이 감염 가려움증', '피부 발진', '결절 피부 분화', '불일치 패치의 증상입니다.']"
곰팡이 감염,"['곰팡이 감염 피부 발진', '노드 피부 분화', '혼란스러운 패치의 증상입니다.']"
곰팡이 감염,"['곰팡이 감염 가려움증', '결절 피부 분화', '혼란스러운 패치의 증상입니다.']"
곰팡이 감염,"['곰팡이 감염 피부 발진', '노드 피부 분화', '혼란스러운 패치의 증상입니다.']"
곰팡이 감염,"['곰팡이 감염 가려움증', '피부 발진', '결절 피부 분화의 증상입니다.']"
알레르기,"['알레르기 떨림', '오한', '눈에서 물을 뿌린 증상입니다.']"
알레르기,"['알레르기 연속 재채기', '오한', '눈에서 물을 뿌린 증상입니다.']"
알레르기,"['알레르기 연속 재채기', '떨림', '눈에서 물을 뿌린 증상입니다.']"
알레르기,"['알레르기 연속 재채기', '떨림', '오한의 증상입니다.']"
알레르기,"['알레르기 떨림', '오한', '눈에서 물을 뿌린 증상입니다.']"
알레르기,"['알레르기 연속 재채기', '오한', '눈에서 물을 뿌린 증상입니다.']"
알레르기,"['알레르기 연속 재채기', '떨림', '눈에서 물을 뿌린 증상입니다.']"
알레르기,"['알레르기 연속 재채기', '떨림', '오한의 증상입니다.']"
알레르기,"['알레르기 연속 재채기', '떨림', '오한', '눈에서 물을 뿌린 증상입니다.']"
만성 담낭,"['만성 담낭 가려움증', '구토', '황색 피부', '메스꺼움', '식욕 상실', '복통', '눈의 황색 증상입니다.']"
만성 담낭,"['만성 담낭 구토', '황색 피부', '메스꺼움', '식욕 상실', '복통', '눈의 황색 증상입니다.']"
만성 담낭,"['만성 담낭 가려움증', '황색 피부', '메스꺼움', '식욕 상실', '복통', '눈의 황색 증상입니다.']"
만성 담낭,"['만성 담낭 가려움증', '구토', '메스꺼움', '식욕 상실', '복통', '눈의 황변 증상입니다.']"
만성 담낭,"['만성 담낭 가려움증', '구토', '황색 피부', '식욕 상실', '복통', '눈의 황색 증상입니다.']"
만성 담낭,"['만성 담낭 가려움증', '구토', '황색 피부', '메스꺼움', '식욕 상실', '눈의 황색 증상입니다.']"
만성 담낭,"['만성 담낭 가려움증', '구토', '황색 피부', '메스꺼움', '식욕 상실', '복통의 증상입니다.']"
만성 담낭,"['만성 담낭 가려움증', '구토', '황색 피부', '메스꺼움', '식욕 상실', '복통', '눈의 황색 증상입니다.']"
약물 반응,"['약물 반응 가려움증', '복통', '연소', '배뇨를 발견 한 증상입니다.']"
약물 반응,"['약물 반응 가려움증', '피부 발진', '복통', '배뇨를 발견 한 증상입니다.']"
약물 반응,"['약물 반응 가려움증', '피부 발진', '복통', '화상의 증상입니다.']"
약물 반응,"['약물 반응 피부 발진', '위 통증', '연소', '배뇨를 발견 한 증상입니다.']"
약물 반응,"['약물 반응 가려움증', '피부 발진', '연소', '배뇨를 발견 한 증상입니다.']"
약물 반응,"['약물 반응 가려움증', '피부 발진', '복통', '배뇨를 발견 한 증상입니다.']"
소화성 궤양 질환,"['소화성 궤양 질병 구토', '소화 불량', '복통', '가스의 통과', '내부 가려움증의 증상입니다.']"
소화성 궤양 질환,"['소화성 궤양 질병 구토', '소화 불량', '식욕 상실', '복통', '가스 통과', '내부 가려움증의 증상입니다.']"
당뇨병,"['당뇨병 체중 감량', '불안', '무기력', '불규칙한 설탕 수준', '흐릿하고 왜곡 된 시력', '비만', '과도한 기아', '식욕 증가', '다뇨증의 증상입니다.']"
당뇨병,"['당뇨병 피로', '불안', '무기력', '불규칙한 설탕 수준', '흐림 및 왜곡 시력', '비만', '과도한 굶주림', '식욕 증가', '다뇨증의 증상입니다.']"
당뇨병,"['당뇨병 피로', '체중 감량', '불안', '불규칙한 설탕 수준', '흐릿하고 왜곡 된 시력', '비만', '과도한 굶주림', '식욕 증가', '다뇨증의 증상입니다.']"
당뇨병,"['당뇨병 피로', '체중 감량', '불안', '무기력', '흐릿하고 흐릿하고 왜곡 된 시력', '비만', '과도한 굶주림', '식욕 증가', '다뇨증의 증상입니다.']"
당뇨병,"['당뇨병 피로', '체중 감량', '불안', '무기력', '불규칙한 설탕 수준', '비만', '과도한 굶주림', '식욕 증가', '다뇨증의 증상입니다.']"
당뇨병,"['당뇨병 피로', '체중 감량', '불안', '무기력', '불규칙한 설탕 수준', '흐릿하고 왜곡 된 시력', '과도한 굶주림', '식욕 증가', '다뇨증의 증상입니다.']"
당뇨병,"['당뇨병 피로', '체중 감량', '불안', '무기력', '불규칙한 설탕 수준', '흐릿하고 왜곡 된 시력', '비만', '식욕 증가', '다뇨증의 증상입니다.']"
위장염,"['위장염 구토', '침몰 한 눈', '탈수', '설사의 증상입니다.']"
위장염,"['위장염의 증상으로 침몰 한 눈', '탈수', '설사입니다.']"
