1,2
피로,천명
구토,관절 부기
메스꺼움,복수
고열,저나트륨혈증
두통,혼잡
식욕 상실,위 출혈
복통,두근거림
피로,수혈 받음
가려움증,비멸균 주사 받음
황달,부비동 압력
구토,고칼륨혈증
기침,혈역학적으로 안정됨
눈의 황변,안절부절
권태감,전립선 비대증
오한,의식 명료
관절 통증,노숙
고열,독성 모습 (티포스)
땀,서맥
피부 발진,종양 세포 침입
흉통,급성 간부전
통증,정신 상태 변화
어두운 소변,거식증
식욕 상실,구아약 양성
호흡 곤란,기분 변화
무기력,산성
메스꺼움,종아리의 두드러진 정맥
두통,복부 압통
설사,트랜스아미나아제 상승
근육통,음주력
과민성,멍
복통,울적함
열,발적
과도한 배고픔,세균 농양
체중 감소,체액 과부하
황달,무의식 상태
눈의 황변,염증성 손톱
복부 통증,가스 배출
미열,투명도 감소
권태감,경정맥 확장
오한,은색 먼지 같은
부은 림프절,불안정함
가래,정상 부비동 리듬
숨가쁨,우울한 기분
시야 흐림 및 왜곡,손톱의 작은 움푹 패인 부분
현기증,악몽
설사,내부 가려움증
관절 통증,중독
호흡 곤란,회전 움직임
무반응,통증이 있는 걷기
변비,기립성 저혈압
쇠약,비장 비대
땀,점 유뇨
흉통,간대성 경련
피부 발진,반상출혈
한기,언어적 청각 환각
어두운 소변,객혈
체중 감소,노란 딱지에서 나오는 액체
초조,전이성 병변
몸에 붉은 반점,쿠싱 체질
열 없음,항문 자극
폐음,코 주위 붉은 상처
기침,긴장증
근육통,움직임 경직
설사,호흡음 감소
과민성,혼수
병변,녹슨 가래
비정상 월경,부비동 압력
가슴 통증,두근거림
우울증,위 출혈
과도한 배고픔,비멸균 주사 받음
빠른 심박수,시각 장애
신체 구조의 덩어리,흉터 형성
촉진 시 통증,말이 어눌함
저혈압,음식 불내증
균형 상실,감각 불편함
무기력,악취 나는 소변
체중 감소,좌심방 비대
안절부절,전반적인 불편함
요통,약한 손톱
기분 변화,임신 경험 0회
산성,저체온증
비만,종교적 신념 있음
소화불량,진동음
실신,급박뇨
두꺼워짐,근육 소모
근육 약화,자연막 파열
뻣뻣한 목,자연적
기좌호흡,목 경직
미열,지속적인 소변 느낌
숨가쁨,신경과민
부은 림프절,결절성 피부 발진
청각 환각,악액질
자살 충동,삼킴 통증
부기,급성 간부전
출혈,목의 반점
떨림,블랙헤드
가래,눈물
다뇨증,침대에 누워 있는
야간 발한,한쪽 신체의 약화
시야 흐림 및 왜곡,갑상선 비대
연속 재채기,전조증상
가족력,철회
환자 불순응,의식 변성
운동 저하,졸림
자살 충동 느낌,꺼진 눈
체중 증가,폐결절
복통,경직
통증이 있는 걷기,다음증
걱정,독성 모습 (티포스)
빠른 호흡,혼외 관계
졸림,운동 지연
목 통증,에너지 증가
과민한 기분,저산소혈증
천명,염소음
관절 부기,부은 혈관
가려움증,종아리의 두드러진 정맥
불면증,복부 부기
어려움,체액 과부하
복수,느슨한 연상
발작,회전 움직임
호흡 곤란,신조어
절망감,Q파 존재
기절,피부 벗겨짐
눈 뒤 통증,무관심한 기분
반신 마비,경증 마비
저나트륨혈증,은색 먼지 같은
몸에 붉은 반점,가스 배출
혼잡,단클론성
혼수,손톱의 작은 움푹 패인 부분
가래에 피,투사성 구토
시각 장애,광민감증
배뇨 시 작열감,하반신 마비
녹슨 가래,신음소리
목 자극,가슴 통증
운동 시 호흡 곤란,스타흘리선
넘어짐,뒤무직
위 출혈,배뇨 지연
콧물,절박성 요실금
식욕 증가,둔위
후각 상실,내부 가려움증
말이 어눌함,염증성 손톱
두근거림,혀의 궤양
두근거림,불안정함
수혈 받음,노란 변색
비멸균 주사 받음,작열감
부비동 압력,혼미
눈의 충혈,쇠약
고칼륨혈증,기종 변화
혈역학적으로 안정됨,심비대
우울증,심혈관 사건
현기증,증상 악화 요인
빠른 심박수,불행함
비정상 월경,보상 실패
안절부절,배뇨 곤란
시각 환각,수축기 심잡음
입술 건조 및 저림,T파 역전
전립선 비대증,가스
복통,언어적 학대 행동
의식 명료,벌레 기어다니는 느낌
균형 상실,혈액 양성
노숙,QT 간격 연장
독성 모습 (티포스),청색증
서맥,이완 불능증
종양 세포 침입,점액성 가래
불규칙한 혈당 수치,방이 회전하는 느낌
땀 증가,고탄산혈증
팔다리 부기,조기 포만감
갑상선 비대,휠체어에 묶인
급성 간부전,쉰 목소리
황색 소변,공포
정신 상태 변화,간비장비대
얼굴 마비,긁힌 자국
늑막 통증,운동 실조
거식증,녹색 가래
불안,허약한
약한 손톱,적혈구 용적률 감소
구아약 양성,점 유뇨
소화불량,노란 딱지에서 나오는 액체
기분 변화,팔다리 약화
산성,움직임 경직
비만,코 주위 붉은 상처
요통,집중력 부족
복부 부기,임신 1회
종아리의 두드러진 정맥,기이맥
가슴 불편감,조정 불능
복부 압통,창백
가래가 있는 기침,불안정한 걸음걸이
홍반,시야 흐림
부은 혈관,혼외 관계
차가운 손발,목의 반점
가래 없는 기침,늑막 통증
부은 다리,악취 나는 소변
경련,결절성 피부 발진
복부 팽창,근육 소모
근육통,신장 각 압통
트랜스아미나아제 상승,공막 황달
음주력,소변 줄기 느려짐
멍,농가래
쌕쌕거림,ST 분절 하강
붓는 얼굴과 눈,자세 유지
협심증,불량한 치아 상태
뻣뻣한 목,협착음
근육 약화,농포
울적함,중첩
발적,의식 변성
세균 농양,수축기 박출 심잡음
체액 과부하,청각 과민
변비,저알부민혈증
무의식 상태,수기흉
염증성 손톱,색소 변화 반점
호흡 곤란,낭성 병변
가스 배출,지속적인 소변 느낌
투명도 감소,저칼슘혈증 결과
혈뇨,흉터 형성
경정맥 확장,저칼륨혈증
은색 먼지 같은,저긴장성
근육 경련,축축한 피부
불안정함,인지 장애
구음 장애,흉터 형성
엉덩이 관절 통증,입술 쩝쩝거림
연속 재채기,배고픔
정상 부비동 리듬,한쪽 신체의 약화
우울한 기분,홍조
피부 벗겨짐,추체외로 증상
무릎 통증,에스트로겐 사용
무감각,전반적인 불안정함
가족력,둔함
손톱의 작은 움푹 패인 부분,반맹증
악몽,꺼진 눈
점액성 가래,간비대
가슴 답답함,다모증
내부 가려움증,불안정한 가정
혀의 궤양,떨림
중독,이상한 느낌
회전 움직임,비흡연자
복통,손의 무감각
통증이 있는 걷기,간대성 경련
관절 부기,결여 증상
목 통증,조기 각성
코막힘,블랙헤드
집중력 부족,기분 변화
기립성 저혈압,비정형성
비장 비대,무증상
점 유뇨,통증
간대성 경련,삼킴 곤란
반상출혈,과잉 행동
언어적 청각 환각,협심증
객혈,양손잡이
항문 부위 통증,종격동 이동
꾸르륵거림,짖는 기침
눈 뒤 통증,ST 분절 상승
어지러움,절망감
힘든 호흡,직장 내 대변
극도의 피로,증상 악화 요인
어지럼증,폭음 에피소드
노란 딱지에서 나오는 액체,따끔거림
전이성 병변,대변뇨
노란 가래,어지럼 발작
쿠싱 체질,부기
흉터 조직,넘어짐 공포
팔다리 약화,의기양양
항문 자극,에너지 증가
코 주위 붉은 상처,침 흘림
목 통증,교대 운동 곤란
소변량 감소,성교통
배변 시 통증,극심한 통증
팽창된 복부,알코올 금단 증상
혈변,몸이 불편한
물집,평형 장애
긴장증,비정상적으로 단단한 일관성
움직임 경직,요로 낭종
불안정한 걸음걸이,안정 시 떨림
호흡음 감소,돌파 통증
혼수,집중할 수 없음
녹슨 가래,집중할 수 없음
콧물,무의식 상태
말이 어눌함,운동 완서
목 자극,호흡음 감소
부비동 압력,숨참
두근거림,비정상 감각
눈의 충혈,작열감
가래에 피,숨참기 발작
후각 상실,절박성 요실금
혼잡,잡음
다뇨증,언어적 청각 환각
식욕 증가,트랜스젠더
배뇨 시 작열감,헤베르덴 결절
위 출혈,욱신거리는 느낌
비멸균 주사 받음,운동 활동 증가를 보이는 행동
수혈 받음,머피 징후
시각 장애,투명도 감소
불안,창백해지다
흉터 형성,조정 이상
말이 어눌함,급성 복부
음식 불내증,복부 팽창
감각 불편함,자살 충동 느낌
악취 나는 소변,낙태
좌심방 비대,몸 떨림
떨림,비정상적으로 단단한 일관성
전반적인 불편함,장음 감소
약한 손톱,토드 마비
속쓰림,어색함
임신 경험 0회,간헐적 파행
저체온증,맥박 없음
종교적 신념 있음,유백색
진동음,기뇨증
가슴 압박감,정신 상태 변화
급박뇨,공기-액체 수준
근육 소모,반점
황색 소변,섭취 불량
탈수,후비루
자연막 파열,침윤된 피부
자연적,이전 임신 2회
구역 및 구토,초임부
목 경직,전조증상
지속적인 소변 느낌,임신 기간에 비해 큰 태아
신경과민,경정맥 확장
결절성 피부 발진,과민한 기분
악액질,전립선 압통
삼킴 통증,단백혈증
급성 간부전,일관성이 없는
목의 반점,단핵구증
방광 불편감,점형 동공
블랙헤드,광시증
눈물,전수축기 잡음
침대에 누워 있는,소리가 나는 호흡
한쪽 신체의 약화,상태 변화 없음
갑상선 비대,알려진 약물 알레르기 없음
전조증상,공황
입술 건조 및 저림,야간 발한
무의식적 손떨림,우울한 기분
복통,임신 2회
철회,콧구멍 벌어짐
의식 변성,비강 분비물 있음
색소 변화 반점,동공 확장
감각 이상,결석 배출
졸림,운동 지연
꺼진 눈,심막 마찰음
팔다리 부기,소리 공포증
폐결절,부적절한 정서
불규칙한 혈당 수치,움직이지 않음
경직,발작
다음증,저단백혈증
독성 모습 (티포스),앉아서 지내는
혼외 관계,쏘는 듯한 통증
운동 지연,무거운 느낌
야뇨증,시각 환각
에너지 증가,청각 환각
저산소혈증,녹색 가래
고름이 찬 여드름,임신 10회
배뇨 곤란,전반적인 불편함
염소음,코 훌쩍임
경련,숨을 헐떡임
부은 혈관,연조직 부기
복부 팽창,음식 불내증
음주력,국소 발작
종아리의 두드러진 정맥,축 늘어짐
붓는 얼굴과 눈,실신 병력
부은 다리,축적
체중 증가,살인 충동
차가운 손발,삼킨 후 역류
복부 부기,R파 특징
멍,저대사증
체액 과부하,두서없는 말
가래 없는 기침,빠르고 얕은 호흡
느슨한 연상,고긴장성
회전 움직임,과다수면
신조어,좌골신경통
Q파 존재,휴식 시 통증
피부 벗겨짐,구토 시도
무관심한 기분,후진
경증 마비,RHD 양성
은색 먼지 같은,다한증
가스 배출,오한 - 온도 관련 관찰
단클론성,눈 굴림
손톱의 작은 움푹 패인 부분,임신성 구토
투사성 구토,부작용
광민감증,
다발성 근육통,
하반신 마비,
신음소리,
가슴 통증,
스타흘리선,
경련,
뒤무직,
배뇨 지연,
절박성 요실금,
둔위,
피곤함,
내부 가려움증,
염증성 손톱,
피로감,
혀의 궤양,
불안정함,
노란 변색,
작열감,
혼미,
쇠약,
기종 변화,
심비대,
심혈관 사건,
땀 증가,
엉덩이 관절 통증,
증상 악화 요인,
불행함,
보상 실패,
배뇨 곤란,
수축기 심잡음,
T파 역전,
가스,
언어적 학대 행동,
벌레 기어다니는 느낌,
혈액 양성,
QT 간격 연장,
관절통,
청색증,
이완 불능증,
점액성 가래,
방이 회전하는 느낌,
고탄산혈증,
조기 포만감,
휠체어에 묶인,
쉰 목소리,
공포,
간비장비대,
긁힌 자국,
복통,
무릎 통증,
운동 실조,
녹색 가래,
허약한,
적혈구 용적률 감소,
코골이,
점 유뇨,
노란 딱지에서 나오는 액체,
혈변,
항문 자극,
물집,
팔다리 약화,
배변 시 통증,
항문 부위 통증,
움직임 경직,
코 주위 붉은 상처,
집중력 부족,
임신 1회,
기이맥,
조정 불능,
창백,
불안정한 걸음걸이,
시야 흐림,
혼외 관계,
요통,
목의 반점,
늑막 통증,
마비,
악취 나는 소변,
결절성 피부 발진,
근육 소모,
신장 각 압통,
공막 황달,
옆구리 통증,
소변 줄기 느려짐,
가래가 있는 기침,
가슴 압박감,
농가래,
ST 분절 하강,
자세 유지,
불량한 치아 상태,
협착음,
코막힘,
농포,
중첩,
의식 변성,
탈수,
수축기 박출 심잡음,
유방의 덩어리,
청각 과민,
현기증,
저알부민혈증,
수기흉,
색소 변화 반점,
팽창된 복부,
변 굵기 감소,
낭성 병변,
과다수면,
지속적인 소변 느낌,
저칼슘혈증 결과,
흉터 형성,
저칼륨혈증,
저긴장성,
축축한 피부,
인지 장애,
흉터 형성,
가슴 답답함,
입술 쩝쩝거림,
배고픔,
홍조,
호흡 곤란,
한쪽 신체의 약화,
홍조,
추체외로 증상,
에스트로겐 사용,
전반적인 불안정함,
숨이 참,
눈물,
몽롱함,
마른 기침,
다리 무거움,
둔함,
반맹증,
꺼진 눈,
간비대,
다모증,
불안정한 가정,
떨림,
이상한 느낌,
비흡연자,
손의 무감각,
간대성 경련,
결여 증상,
조기 각성,
블랙헤드,
기분 변화,
비정형성,
무증상,
통증,
질 출혈,
삼킴 곤란,
과잉 행동,
손의 무감각,
협심증,
양손잡이,
방광 불편감,
고름이 찬 여드름,
종격동 이동,
얼굴 마비,
짖는 기침,
ST 분절 상승,
절망감,
직장 내 대변,
증상 악화 요인,
폭음 에피소드,
따끔거림,
대변뇨,
어지럼 발작,
부기,
넘어짐 공포,
의기양양,
에너지 증가,
침 흘림,
후각 상실,
노란 가래,
교대 운동 곤란,
감각 이상,
성교통,
극도의 피로,
극심한 통증,
알코올 금단 증상,
운동 시 호흡 곤란,
몸이 불편한,
평형 장애,
비정상적으로 단단한 일관성,
근육 경련,
요로 낭종,
안정 시 떨림,
돌파 통증,
질식,
집중할 수 없음,
집중할 수 없음,
무의식 상태,
저체중,
운동 완서,
호흡음 감소,
숨참,
비정상 감각,
작열감,
숨참기 발작,
절박성 요실금,
잡음,
언어적 청각 환각,
트랜스젠더,
헤베르덴 결절,
욱신거리는 느낌,
운동 활동 증가를 보이는 행동,
머피 징후,
투명도 감소,
창백해지다,
조정 이상,
급성 복부,
복부 팽창,
이명,
자살 충동 느낌,
낙태,
몸 떨림,
비정상적으로 단단한 일관성,
장음 감소,
토드 마비,
강직성 발작,
어색함,
간헐적 파행,
과체중,
더움/열감,
맥박 없음,
유백색,
기뇨증,
정신 상태 변화,
공기-액체 수준,
반점,
섭취 불량,
후비루,
침윤된 피부,
요통,
이전 임신 2회,
초임부,
전조증상,
임신 기간에 비해 큰 태아,
경정맥 확장,
과민한 기분,
전립선 압통,
월경 중간의 과다 출혈,
단백혈증,
일관성이 없는,
단핵구증,
점형 동공,
광시증,
전수축기 잡음,
숨가쁨,
발 통증,
하지 통증,
목 통증,
소리가 나는 호흡,
상태 변화 없음,
알려진 약물 알레르기 없음,
공황,
야간 발한,
우울한 기분,
임신 2회,
콧구멍 벌어짐,
비강 분비물 있음,
동공 확장,
결석 배출,
운동 지연,
심막 마찰음,
소리 공포증,
부적절한 정서,
움직이지 않음,
발작,
저단백혈증,
앉아서 지내는,
쏘는 듯한 통증,
혈변,
무거운 느낌,
시각 환각,
청각 환각,
녹색 가래,
임신 10회,
전반적인 불편함,
재채기,
코 훌쩍임,
숨을 헐떡임,
구역질,
연조직 부기,
거품 가래,
음식 불내증,
말이 어눌함,
국소 발작,
축 늘어짐,
실신 병력,
축적,
살인 충동,
삼킨 후 역류,
R파 특징,
저대사증,
두서없는 말,
빠르고 얕은 호흡,
붉은 반점,
감각 저하,
과호흡,
고긴장성,
과다수면,
좌골신경통,
휴식 시 통증,
구토 시도,
후진,
RHD 양성,
다한증,
오한 - 온도 관련 관찰,
눈 굴림,
임신성 구토,
부작용,
