               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080716,            0.022321,            0.085523,             0.45478,            0.092953,            0.060681,            0.024662,            0.038484,           0.0085986,            0.061406,            0.070316,           0.0032982,           0.0032982
                   1,            0.050008,            0.018878,            0.078651,           0.0088331,             0.99038,            0.089398,            0.046342,            0.034077,           0.0048534,            0.056694,            0.040283,           0.0065988,           0.0065988
                   2,            0.044866,            0.016177,            0.076719,            0.044607,             0.89103,             0.17851,             0.11718,            0.020048,           0.0036954,            0.053098,            0.010217,           0.0098663,           0.0098663
                   3,            0.041433,            0.014034,            0.075863,             0.44316,             0.16978,             0.22234,             0.13657,            0.021089,           0.0039847,            0.050933,           0.0098515,           0.0098515,           0.0098515
                   4,            0.039052,            0.012849,            0.073779,             0.41118,             0.24701,             0.20792,             0.11624,            0.024435,           0.0035275,            0.048958,           0.0098515,           0.0098515,           0.0098515
                   5,            0.035663,            0.012976,             0.07238,             0.39417,             0.33528,             0.27086,             0.17586,             0.02013,           0.0037502,            0.048378,            0.009802,            0.009802,            0.009802
                   6,            0.034061,            0.012532,            0.067825,             0.26892,              0.3854,             0.30535,              0.2054,            0.019443,           0.0032945,            0.044489,           0.0097525,           0.0097525,           0.0097525
                   7,            0.033806,            0.012138,            0.066901,             0.30211,             0.58628,             0.35342,             0.24647,            0.016711,           0.0035418,            0.042425,            0.009703,            0.009703,            0.009703
                   8,            0.033559,            0.012213,            0.064389,              0.4037,             0.51145,             0.36017,             0.25248,            0.018218,           0.0033289,            0.040433,           0.0096535,           0.0096535,           0.0096535
                   9,            0.032687,             0.01197,            0.063277,             0.38407,             0.61194,             0.44811,             0.29169,            0.020214,           0.0030847,            0.038561,            0.009604,            0.009604,            0.009604
                  10,            0.031306,            0.011878,            0.060078,             0.56371,             0.43548,              0.4972,              0.3504,            0.020351,           0.0031608,            0.037413,           0.0095545,           0.0095545,           0.0095545
                  11,            0.032498,            0.011486,            0.059211,             0.40056,             0.60913,             0.48446,             0.28492,            0.019037,           0.0034183,            0.035225,            0.009505,            0.009505,            0.009505
                  12,            0.030695,             0.01139,            0.056584,             0.43551,             0.63425,             0.52744,             0.32487,            0.021915,           0.0032087,            0.032962,           0.0094555,           0.0094555,           0.0094555
                  13,            0.029747,            0.011051,             0.05565,             0.35771,             0.77696,             0.58877,             0.44292,             0.01614,           0.0029227,            0.032531,            0.009406,            0.009406,            0.009406
                  14,            0.030284,            0.011134,            0.054607,             0.34216,             0.75362,             0.60599,             0.44853,            0.017279,           0.0031303,            0.030833,           0.0093565,           0.0093565,           0.0093565
                  15,            0.029378,            0.011278,            0.053653,               0.425,             0.73039,             0.62066,             0.41845,            0.018194,           0.0031948,            0.029717,            0.009307,            0.009307,            0.009307
                  16,            0.029793,            0.011179,             0.05194,             0.37959,             0.66373,             0.55897,              0.3616,            0.021097,           0.0036876,            0.031739,           0.0092575,           0.0092575,           0.0092575
                  17,            0.029238,            0.011454,             0.05132,             0.51239,             0.69273,             0.63847,             0.43431,            0.019076,            0.003143,            0.028205,            0.009208,            0.009208,            0.009208
                  18,            0.029281,             0.01057,             0.04934,             0.53794,             0.72871,             0.72917,             0.55327,            0.015279,           0.0029536,            0.026254,           0.0091585,           0.0091585,           0.0091585
                  19,            0.028113,             0.01081,            0.048016,             0.59244,             0.63602,             0.69469,              0.4998,            0.018902,           0.0031698,            0.025747,            0.009109,            0.009109,            0.009109
                  20,            0.029203,            0.011287,            0.048926,             0.46774,             0.84418,             0.69221,              0.4823,            0.020039,           0.0031183,            0.026644,           0.0090595,           0.0090595,           0.0090595
                  21,            0.028301,            0.010719,            0.046847,             0.53261,             0.76858,             0.73668,             0.53096,            0.016936,           0.0031863,            0.024331,             0.00901,             0.00901,             0.00901
                  22,            0.028294,            0.010834,            0.045254,             0.51117,             0.81086,             0.70923,             0.55576,            0.016847,           0.0032767,            0.024583,           0.0089605,           0.0089605,           0.0089605
                  23,            0.028354,             0.01059,            0.045344,             0.61631,             0.74003,             0.75663,             0.55732,            0.015866,            0.003051,            0.023177,            0.008911,            0.008911,            0.008911
                  24,             0.02867,            0.010563,            0.044698,             0.57099,             0.80246,             0.78133,             0.58189,            0.017866,           0.0030914,            0.021936,           0.0088615,           0.0088615,           0.0088615
                  25,            0.027826,            0.010576,            0.045132,             0.71856,             0.64235,             0.76448,             0.60396,            0.016537,           0.0032523,             0.02195,            0.008812,            0.008812,            0.008812
                  26,            0.027925,            0.010526,            0.044539,             0.77713,             0.74077,             0.81835,             0.60933,            0.019161,           0.0029319,            0.018683,           0.0087625,           0.0087625,           0.0087625
                  27,            0.028702,            0.010736,            0.042837,             0.69437,             0.75667,             0.84097,             0.62901,            0.016289,           0.0029256,            0.017781,            0.008713,            0.008713,            0.008713
                  28,            0.028401,            0.010403,            0.040449,             0.70306,             0.77072,             0.81476,             0.62754,            0.017287,           0.0029699,            0.023633,           0.0086635,           0.0086635,           0.0086635
                  29,            0.027569,            0.010723,            0.041293,             0.78622,             0.76137,             0.84335,             0.66811,            0.017978,           0.0028109,            0.016382,            0.008614,            0.008614,            0.008614
                  30,            0.027401,            0.010141,            0.039539,             0.79892,              0.7595,             0.88207,             0.67676,            0.017599,           0.0027648,            0.015269,           0.0085645,           0.0085645,           0.0085645
                  31,            0.027558,            0.010619,            0.039112,             0.79379,             0.80456,              0.8778,             0.69142,            0.014902,           0.0030383,            0.014751,            0.008515,            0.008515,            0.008515
                  32,            0.027472,            0.010387,            0.039396,             0.67462,             0.85346,             0.86694,             0.66209,              0.0169,           0.0030083,            0.017021,           0.0084655,           0.0084655,           0.0084655
                  33,            0.027443,            0.010421,            0.036887,             0.72982,             0.73007,             0.85673,             0.61453,            0.018952,           0.0027685,            0.016956,            0.008416,            0.008416,            0.008416
                  34,            0.027816,            0.010157,             0.03661,             0.73396,             0.83557,             0.88939,             0.70754,            0.015738,           0.0028241,            0.014201,           0.0083665,           0.0083665,           0.0083665
                  35,            0.026547,            0.010436,            0.036465,             0.81152,             0.77315,             0.88076,             0.63514,            0.020071,           0.0031354,            0.012781,            0.008317,            0.008317,            0.008317
                  36,              0.0273,            0.010107,            0.035269,             0.77951,             0.87834,             0.89205,             0.64915,            0.017748,           0.0029698,            0.012941,           0.0082675,           0.0082675,           0.0082675
                  37,            0.026432,            0.010015,            0.034293,             0.77216,             0.89585,             0.90304,             0.69554,            0.017963,           0.0028504,            0.012155,            0.008218,            0.008218,            0.008218
                  38,            0.026569,            0.010508,            0.033584,             0.72479,             0.88832,             0.89278,             0.70219,            0.017487,           0.0027928,            0.011427,           0.0081685,           0.0081685,           0.0081685
                  39,            0.026931,            0.010339,            0.033003,              0.7958,             0.90608,             0.91462,             0.67362,            0.017127,           0.0028671,            0.010631,            0.008119,            0.008119,            0.008119
                  40,             0.02651,            0.010099,            0.032907,             0.78016,              0.9053,              0.9117,             0.69892,            0.018034,           0.0029028,            0.010227,           0.0080695,           0.0080695,           0.0080695
                  41,            0.026394,            0.010006,            0.033644,             0.83978,             0.84783,             0.91766,             0.68739,            0.016478,           0.0027256,            0.010883,             0.00802,             0.00802,             0.00802
                  42,            0.027803,            0.010132,            0.032912,             0.78194,             0.83812,             0.88536,             0.66739,            0.015767,           0.0028146,             0.01204,           0.0079705,           0.0079705,           0.0079705
                  43,            0.025509,            0.010013,            0.031363,             0.80941,             0.89203,             0.91479,             0.66245,            0.018398,           0.0030446,            0.011053,            0.007921,            0.007921,            0.007921
                  44,            0.026134,            0.010046,            0.030684,             0.80158,             0.85421,             0.89971,             0.69073,            0.015521,           0.0028471,             0.01028,           0.0078715,           0.0078715,           0.0078715
                  45,            0.026499,           0.0099346,            0.030719,             0.74929,              0.8576,             0.87746,             0.68127,              0.0192,           0.0028751,            0.013892,            0.007822,            0.007822,            0.007822
                  46,            0.026302,           0.0097366,            0.031052,             0.79168,             0.89612,             0.90407,             0.69079,            0.018175,           0.0029309,            0.011095,           0.0077725,           0.0077725,           0.0077725
                  47,             0.02609,           0.0098913,            0.030708,             0.78306,             0.90128,             0.91742,             0.69954,             0.01779,           0.0027858,           0.0097963,            0.007723,            0.007723,            0.007723
                  48,            0.025068,            0.009933,            0.029592,             0.80903,             0.89598,             0.91522,             0.72155,            0.017622,           0.0029517,           0.0090427,           0.0076735,           0.0076735,           0.0076735
                  49,            0.025292,           0.0098482,            0.030004,               0.799,             0.90594,             0.92272,             0.73667,            0.014762,           0.0027864,           0.0093642,            0.007624,            0.007624,            0.007624
                  50,             0.02495,            0.010053,            0.028114,             0.78146,             0.88583,             0.91334,             0.66224,            0.017418,           0.0029794,            0.010095,           0.0075745,           0.0075745,           0.0075745
                  51,            0.025836,           0.0097724,            0.028996,             0.80367,             0.88937,             0.91737,             0.66031,            0.021446,           0.0029877,            0.010314,            0.007525,            0.007525,            0.007525
                  52,            0.024777,           0.0099786,            0.029677,             0.80448,             0.88007,             0.91402,             0.72908,            0.015652,           0.0026944,            0.010063,           0.0074755,           0.0074755,           0.0074755
                  53,            0.025217,           0.0098099,            0.030234,             0.80304,             0.88937,             0.92502,             0.68789,            0.016899,           0.0028524,           0.0097084,            0.007426,            0.007426,            0.007426
                  54,            0.025229,            0.010059,             0.02925,             0.86089,             0.87546,             0.93492,             0.71154,            0.015826,           0.0030609,            0.010265,           0.0073765,           0.0073765,           0.0073765
                  55,            0.025289,           0.0095601,            0.028177,             0.80214,             0.88517,             0.93134,             0.70657,            0.018769,           0.0028887,            0.010649,            0.007327,            0.007327,            0.007327
                  56,            0.025542,           0.0095764,            0.028065,             0.80598,             0.88803,             0.91928,              0.7476,            0.014388,            0.002876,            0.010349,           0.0072775,           0.0072775,           0.0072775
                  57,            0.024292,           0.0098314,            0.025909,             0.82508,             0.92013,             0.93078,             0.67337,            0.016892,            0.002895,            0.007842,            0.007228,            0.007228,            0.007228
                  58,            0.024558,           0.0094021,            0.026595,             0.82945,             0.92554,             0.94621,             0.73417,            0.017254,           0.0028067,            0.007196,           0.0071785,           0.0071785,           0.0071785
                  59,            0.023984,           0.0094596,            0.025474,             0.88511,             0.82587,              0.9252,             0.70971,            0.016144,           0.0028247,           0.0092624,            0.007129,            0.007129,            0.007129
                  60,            0.023657,           0.0097026,            0.025969,             0.80437,             0.90537,             0.94425,             0.73306,            0.015459,           0.0028492,           0.0079547,           0.0070795,           0.0070795,           0.0070795
                  61,            0.024151,           0.0093671,             0.02625,             0.85693,             0.81653,             0.91466,             0.73107,            0.014265,           0.0026462,           0.0086079,             0.00703,             0.00703,             0.00703
                  62,            0.024003,           0.0092013,            0.025114,             0.81468,             0.86938,             0.91013,             0.73626,            0.014825,           0.0025863,           0.0086368,           0.0069805,           0.0069805,           0.0069805
                  63,            0.023946,           0.0091796,            0.024034,             0.81256,             0.92013,             0.93129,             0.70635,            0.015821,           0.0029001,           0.0072934,            0.006931,            0.006931,            0.006931
                  64,            0.024496,           0.0094857,            0.023832,              0.8084,             0.89721,             0.92257,             0.73182,            0.014316,           0.0029519,           0.0099393,           0.0068815,           0.0068815,           0.0068815
                  65,            0.024014,           0.0094527,            0.024794,             0.89587,             0.88964,             0.93263,             0.74884,            0.015917,           0.0028444,           0.0073942,            0.006832,            0.006832,            0.006832
                  66,            0.023848,           0.0092578,            0.025113,             0.85353,             0.85478,             0.92788,             0.71506,            0.017137,           0.0028768,             0.01102,           0.0067825,           0.0067825,           0.0067825
                  67,            0.024749,           0.0092222,            0.024834,             0.89112,             0.86302,             0.93956,             0.71933,            0.016494,           0.0029466,           0.0081994,            0.006733,            0.006733,            0.006733
                  68,            0.023661,           0.0094191,            0.024827,             0.86484,              0.8538,             0.94117,              0.7416,            0.014773,           0.0027952,           0.0090535,           0.0066835,           0.0066835,           0.0066835
                  69,            0.023853,           0.0094229,            0.025347,             0.85925,             0.89816,              0.9487,             0.75284,            0.016162,           0.0027802,           0.0075959,            0.006634,            0.006634,            0.006634
                  70,            0.024465,           0.0093006,            0.024134,             0.86412,             0.85108,             0.92827,             0.69584,            0.016928,            0.002731,           0.0097943,           0.0065845,           0.0065845,           0.0065845
                  71,            0.023464,           0.0094699,            0.022941,             0.90058,             0.90141,              0.9362,             0.71192,            0.016855,           0.0026983,           0.0074296,            0.006535,            0.006535,            0.006535
                  72,            0.023679,           0.0092343,             0.02412,             0.87054,             0.89679,             0.94595,             0.74255,            0.016521,           0.0029539,           0.0084846,           0.0064855,           0.0064855,           0.0064855
                  73,            0.023396,           0.0095228,            0.023059,             0.85667,             0.85917,             0.92921,             0.73137,             0.01506,           0.0027345,           0.0079626,            0.006436,            0.006436,            0.006436
                  74,            0.023449,           0.0094283,            0.024427,             0.82859,             0.90458,             0.92951,             0.70794,            0.016106,           0.0028333,           0.0082391,           0.0063865,           0.0063865,           0.0063865
                  75,            0.023028,           0.0096482,            0.023006,             0.88034,             0.89221,             0.92905,             0.74936,            0.015011,           0.0026775,           0.0090519,            0.006337,            0.006337,            0.006337
                  76,            0.024011,           0.0091928,            0.022137,              0.8794,             0.87628,             0.92882,             0.73458,            0.015532,           0.0027851,           0.0093912,           0.0062875,           0.0062875,           0.0062875
                  77,            0.022907,           0.0089839,            0.021414,              0.8807,              0.8772,              0.9208,             0.72253,             0.01503,           0.0026243,           0.0090997,            0.006238,            0.006238,            0.006238
                  78,            0.023098,           0.0091757,            0.022102,              0.8931,             0.87046,             0.93264,             0.73842,             0.01522,           0.0028498,           0.0084287,           0.0061885,           0.0061885,           0.0061885
                  79,            0.023682,           0.0092262,            0.022818,             0.89316,             0.89078,              0.9503,             0.78136,            0.013481,           0.0027576,           0.0074081,            0.006139,            0.006139,            0.006139
                  80,            0.022858,           0.0090253,            0.021908,             0.89859,             0.87273,             0.96135,             0.76507,            0.015208,           0.0027334,            0.008991,           0.0060895,           0.0060895,           0.0060895
                  81,            0.023042,           0.0089127,              0.0203,             0.86919,             0.88409,             0.94472,             0.73369,            0.017013,           0.0028357,           0.0084311,             0.00604,             0.00604,             0.00604
                  82,            0.022548,           0.0091744,            0.020193,             0.92469,             0.87069,             0.94516,             0.73778,            0.015934,           0.0027938,           0.0082532,           0.0059905,           0.0059905,           0.0059905
                  83,            0.022296,           0.0091224,            0.021759,             0.89111,             0.85107,             0.92898,             0.73821,            0.015584,           0.0026971,           0.0086399,            0.005941,            0.005941,            0.005941
                  84,            0.022744,           0.0091464,             0.02127,             0.87225,             0.86214,             0.92664,             0.71553,            0.016122,           0.0027941,           0.0071371,           0.0058915,           0.0058915,           0.0058915
                  85,            0.022682,           0.0088059,            0.021538,             0.86573,             0.87175,             0.91634,             0.71813,            0.014823,           0.0026811,           0.0087843,            0.005842,            0.005842,            0.005842
                  86,            0.022491,           0.0089436,            0.019988,             0.84477,             0.86596,             0.92523,             0.73455,            0.014441,           0.0026478,            0.011721,           0.0057925,           0.0057925,           0.0057925
                  87,            0.022713,           0.0088067,            0.022098,              0.8843,              0.8754,             0.92705,               0.728,            0.015653,           0.0026679,           0.0092697,            0.005743,            0.005743,            0.005743
                  88,            0.021346,           0.0087889,            0.019544,             0.93086,             0.87705,             0.94826,             0.71693,            0.015806,           0.0028974,           0.0079968,           0.0056935,           0.0056935,           0.0056935
